ram,nm,nt,rf,lt,nn,t,wl,dbs,[OVERALL] RunTime(ms),[OVERALL] Throughput(ops/sec),[TOTAL_GCS_PS_Scavenge] Count,[TOTAL_GC_TIME_PS_Scavenge] Time(ms),[TOTAL_GC_TIME_%_PS_Scavenge] Time(%),[TOTAL_GCS_PS_MarkSweep] Count,[TOTAL_GC_TIME_PS_MarkSweep] Time(ms),[TOTAL_GC_TIME_%_PS_MarkSweep] Time(%),[TOTAL_GCs] Count,[TOTAL_GC_TIME] Time(ms),[TOTAL_GC_TIME_%] Time(%),[READ] Operations,[READ] AverageLatency(us),[READ] MinLatency(us),[READ] MaxLatency(us),[READ] 95thPercentileLatency(us),[READ] 99thPercentileLatency(us),[READ] Return=OK,[CLEANUP] Operations,[CLEANUP] AverageLatency(us),[CLEANUP] MinLatency(us),[CLEANUP] MaxLatency(us),[CLEANUP] 95thPercentileLatency(us),[CLEANUP] 99thPercentileLatency(us),[INSERT] Operations,[INSERT] AverageLatency(us),[INSERT] MinLatency(us),[INSERT] MaxLatency(us),[INSERT] 95thPercentileLatency(us),[INSERT] 99thPercentileLatency(us),[INSERT] Return=OK,[SCAN] Operations,[SCAN] AverageLatency(us),[SCAN] MinLatency(us),[SCAN] MaxLatency(us),[SCAN] 95thPercentileLatency(us),[SCAN] 99thPercentileLatency(us),[SCAN] Return=OK,[UPDATE] Operations,[UPDATE] AverageLatency(us),[UPDATE] MinLatency(us),[UPDATE] MaxLatency(us),[UPDATE] 95thPercentileLatency(us),[UPDATE] 99thPercentileLatency(us),[UPDATE] Return=OK
1GB,eth,rp,1,1,1,9,a,1000, 59545.0, 167.94021328407086, 1.0, 14.0, 0.02351162985976992, 0.0, 0.0, 0.0, 1.0, 14.0, 0.02351162985976992, 4969.0, 7073.114509961763, 3724.0, 65279.0, 11583.0, 14807.0, 4969, 1.0, 2219008.0, 2217984.0, 2220031.0, 2220031.0, 2220031.0,,,,,,,,,,,,,,, 5031.0, 4256.11687537269, 3172.0, 62047.0, 5691.0, 10247.0, 5031
1GB,eth,rp,1,1,1,8,a,1000, 46676.0, 214.24286571257178, 1.0, 7.0, 0.014997000599880022, 0.0, 0.0, 0.0, 1.0, 7.0, 0.014997000599880022, 4921.0, 4690.005689900427, 3526.0, 56799.0, 6131.0, 8799.0, 4921, 1.0, 2212864.0, 2211840.0, 2213887.0, 2213887.0, 2213887.0,,,,,,,,,,,,,,, 5079.0, 4040.147076196102, 2890.0, 41247.0, 5147.0, 7859.0, 5079
1GB,eth,rp,1,1,1,24,e,1000, 539024.0, 18.55204963044317, 17.0, 68.0, 0.012615393748701355, 0.0, 0.0, 0.0, 17.0, 68.0, 0.012615393748701355,,,,,,,, 1.0, 2221056.0, 2220032.0, 2222079.0, 2222079.0, 2222079.0, 485.0, 10577.241237113401, 8124.0, 24271.0, 15639.0, 20543.0, 485, 9515.0, 55783.128533893854, 10312.0, 320255.0, 95167.0, 110911.0, 9515,,,,,,,
1GB,eth,rp,1,1,1,5,a,1000, 47395.0, 210.99272075113407, 1.0, 8.0, 0.016879417660090726, 0.0, 0.0, 0.0, 1.0, 8.0, 0.016879417660090726, 4928.0, 4781.429991883117, 3578.0, 63423.0, 6039.0, 9215.0, 4928, 1.0, 2216960.0, 2215936.0, 2217983.0, 2217983.0, 2217983.0,,,,,,,,,,,,,,, 5072.0, 4109.586947949527, 3186.0, 69183.0, 5255.0, 8863.0, 5072
1GB,eth,rp,1,1,1,30,a,1000, 48138.0, 207.736092068636, 1.0, 18.0, 0.03739249657235448, 0.0, 0.0, 0.0, 1.0, 18.0, 0.03739249657235448, 4996.0, 5071.31224979984, 3600.0, 52767.0, 9983.0, 11671.0, 4996, 1.0, 2214912.0, 2213888.0, 2215935.0, 2215935.0, 2215935.0,,,,,,,,,,,,,,, 5004.0, 3947.181654676259, 3000.0, 152191.0, 4887.0, 7055.0, 5004
1GB,eth,rp,1,1,1,9,e,1000, 550992.0, 18.149083834248046, 17.0, 59.0, 0.010707959462206349, 0.0, 0.0, 0.0, 17.0, 59.0, 0.010707959462206349,,,,,,,, 1.0, 2227200.0, 2226176.0, 2228223.0, 2228223.0, 2228223.0, 495.0, 10781.951515151515, 7976.0, 44799.0, 16303.0, 22271.0, 495, 9505.0, 57074.11635981063, 11576.0, 328447.0, 94015.0, 108927.0, 9505,,,,,,,
1GB,eth,rp,1,1,1,25,a,1000, 55157.0, 181.3006508693366, 1.0, 8.0, 0.01450405206954693, 0.0, 0.0, 0.0, 1.0, 8.0, 0.01450405206954693, 4977.0, 6219.924854329917, 3556.0, 68863.0, 10535.0, 13519.0, 4977, 1.0, 2212864.0, 2211840.0, 2213887.0, 2213887.0, 2213887.0,,,,,,,,,,,,,,, 5023.0, 4207.750348397372, 3086.0, 62015.0, 5587.0, 7275.0, 5023
1GB,eth,rp,1,1,1,7,e,1000, 552173.0, 18.11026616658185, 17.0, 70.0, 0.012677186316607296, 0.0, 0.0, 0.0, 17.0, 70.0, 0.012677186316607296,,,,,,,, 1.0, 2223104.0, 2222080.0, 2224127.0, 2224127.0, 2224127.0, 468.0, 10714.004273504273, 7928.0, 27359.0, 16151.0, 22431.0, 468, 9532.0, 57072.971884179606, 10160.0, 162047.0, 94015.0, 108735.0, 9532,,,,,,,
1GB,eth,rp,1,1,1,16,c,1000, 55218.0, 181.10036582273895, 1.0, 7.0, 0.012677025607591727, 0.0, 0.0, 0.0, 1.0, 7.0, 0.012677025607591727, 10000.0, 5217.1521, 3586.0, 51839.0, 10055.0, 11655.0, 10000, 1.0, 2227200.0, 2226176.0, 2228223.0, 2228223.0, 2228223.0,,,,,,,,,,,,,,,,,,,,,
1GB,eth,rp,1,1,1,6,a,1000, 48853.0, 204.6957198124987, 1.0, 7.0, 0.01432870038687491, 0.0, 0.0, 0.0, 1.0, 7.0, 0.01432870038687491, 4992.0, 5018.629607371795, 3662.0, 48831.0, 6535.0, 8871.0, 4992, 1.0, 2223104.0, 2222080.0, 2224127.0, 2224127.0, 2224127.0,,,,,,,,,,,,,,, 5008.0, 4149.012180511182, 3136.0, 49823.0, 5367.0, 8351.0, 5008
