ld,wl,Throughput(ops/sec),RunTime(ms),ram,n,t,RunTime(s),dbs
False,c, 482.7419744146754, 20715.0,1GB,3,2,20.715,500
False,a, 453.22697606961566, 22064.0,1GB,1,1,22.064,800
False,c, 258.03787996077824, 38754.0,1GB,1,5,38.754,1000
True,c, 2799.9440011199777, 178575.0,1GB,1,5,178.575,500
False,c, 515.6233886769104, 19394.0,1GB,1,3,19.394,500
False,c, 217.54737094002218, 45967.0,1GB,1,2,45.967,1000
False,a, 238.83448770002389, 41870.0,1GB,3,3,41.87,1000
True,f, 662.0762711864406, 755200.0,1GB,6,3,755.2,500
False,a, 397.75665248001275, 25141.0,1GB,3,1,25.141,800
True,c, 630.728592440844, 1585468.0,1GB,6,1,1585.468,1000
True,c, 1745.5776880259916, 458301.0,1GB,1,5,458.301,800
True,a, 309.936621257376, 82362.0,1GB,6,1,82.362,500
False,a, 395.41320680110715, 25290.0,1GB,1,1,25.29,1000
True,a, 865.1162629745811, 1155914.0,1GB,3,4,1155.914,1000
True,c, 955.2722430365429, 523411.0,1GB,3,3,523.411,500
False,f, 336.28140027575074, 29737.0,1GB,6,2,29.737,500
True,f, 1751.9424662094098, 456636.0,1GB,1,4,456.636,800
True,c, 700.0095201294738, 714276.0,1GB,6,2,714.276,500
False,a, 536.7686527106817, 18630.0,1GB,1,4,18.63,500
True,f, 614.7929953560074, 1301251.0,1GB,6,3,1301.251,800
True,c, 844.9000145322802, 591786.0,1GB,3,1,591.786,500
True,f, 836.1399765211895, 597986.0,1GB,3,3,597.986,500
True,a, 613.9383654996108, 814414.0,1GB,6,3,814.414,500
True,a, 1911.2090499570934, 523229.0,1GB,1,2,523.229,1000
False,a, 257.8449320578604, 38783.0,1GB,6,2,38.783,1000
False,f, 408.39663481172914, 24486.0,1GB,3,4,24.486,800
False,f, 383.4944009817457, 26076.0,1GB,6,4,26.076,500
False,c, 512.610211195407, 19508.0,1GB,1,1,19.508,1000
False,c, 290.5709719599012, 34415.0,1GB,6,1,34.415,800
False,f, 571.0370031978072, 17512.0,1GB,1,2,17.512,800
False,c, 422.54711400321133, 23666.0,1GB,3,4,23.666,1000
True,f, 1870.246068275203, 534689.0,1GB,1,1,534.689,1000
True,a, 918.4127990007669, 1088835.0,1GB,3,5,1088.835,1000
True,f, 644.9286999075817, 1550559.0,1GB,6,4,1550.559,1000
False,c, 255.63679124699627, 39118.0,1GB,3,5,39.118,500
False,f, 341.02922620468576, 29323.0,1GB,3,2,29.323,1000
False,a, 514.0595280933533, 19453.0,1GB,1,5,19.453,500
False,f, 471.8984474541079, 21191.0,1GB,1,3,21.191,1000
True,f, 658.1561590664713, 1215517.0,1GB,6,4,1215.517,800
False,a, 457.64495904077614, 21851.0,1GB,3,4,21.851,800
False,a, 346.6805338880222, 28845.0,1GB,3,4,28.845,500
False,f, 255.57145777959516, 39128.0,1GB,6,2,39.128,800
True,f, 630.618415949601, 1585745.0,1GB,6,1,1585.745,1000
True,c, 879.4214286420963, 909689.0,1GB,3,2,909.689,800
False,c, 200.93232599260568, 49768.0,1GB,6,1,49.768,1000
True,f, 1898.6068023284513, 526702.0,1GB,1,4,526.702,1000
True,c, 1896.7917664063004, 527206.0,1GB,1,3,527.206,1000
False,f, 423.01184433164127, 23640.0,1GB,3,5,23.64,500
False,f, 361.20642947444463, 27685.0,1GB,3,5,27.685,1000
True,c, 2775.7268240688823, 180133.0,1GB,1,2,180.133,500
False,a, 341.78686171303576, 29258.0,1GB,6,5,29.258,1000
False,a, 545.3157378121932, 18338.0,1GB,1,5,18.338,1000
True,f, 616.9366381395165, 810456.0,1GB,6,1,810.456,500
True,c, 920.2404588318927, 869338.0,1GB,3,3,869.338,800
True,c, 1069.2028157456152, 748221.0,1GB,3,4,748.221,800
False,c, 287.23251472066636, 34815.0,1GB,3,2,34.815,1000
False,f, 424.48425163426435, 23558.0,1GB,1,2,23.558,1000
True,c, 594.187656345627, 841485.0,1GB,6,5,841.485,500
False,a, 412.0482920598294, 24269.0,1GB,3,1,24.269,500
False,a, 531.7451877060513, 18806.0,1GB,6,5,18.806,500
False,c, 380.50302499904876, 26281.0,1GB,6,3,26.281,800
False,a, 287.2572676088705, 34812.0,1GB,6,2,34.812,500
True,a, 608.6894991170197, 1314299.0,1GB,6,2,1314.299,800
True,f, 943.9590397293481, 529684.0,1GB,3,2,529.684,500
False,a, 600.6727534839019, 16648.0,1GB,1,4,16.648,800
False,c, 239.51522119230677, 41751.0,1GB,3,1,41.751,500
True,c, 638.6071212357303, 1565908.0,1GB,6,4,1565.908,1000
True,a, 612.1453306472396, 1633599.0,1GB,6,2,1633.599,1000
False,a, 384.1868684928349, 26029.0,1GB,6,4,26.029,800
True,f, 957.4710508627771, 1044418.0,1GB,3,5,1044.418,1000
True,c, 610.970121269932, 1309393.0,1GB,6,5,1309.393,800
True,f, 939.1752538590711, 532382.0,1GB,3,4,532.382,500
False,c, 292.4062107079154, 34199.0,1GB,3,4,34.199,500
False,a, 524.824183898394, 19054.0,1GB,1,4,19.054,1000
True,a, 947.7199752834631, 527582.0,1GB,3,4,527.582,500
True,a, 606.4856054432083, 1319075.0,1GB,6,4,1319.075,800
False,a, 280.0179211469534, 35712.0,1GB,3,5,35.712,800
False,f, 257.36051060325303, 38856.0,1GB,6,1,38.856,1000
False,a, 390.45722541095626, 25611.0,1GB,3,1,25.611,1000
False,f, 274.98968788670425, 36365.0,1GB,6,3,36.365,1000
False,f, 168.5431133283894, 59332.0,1GB,6,1,59.332,500
True,a, 619.0455555624338, 1615390.0,1GB,6,4,1615.39,1000
True,f, 1748.3663701728697, 457570.0,1GB,1,3,457.57,800
False,f, 420.83999663328, 23762.0,1GB,3,2,23.762,800
False,c, 501.57997692732107, 19937.0,1GB,6,5,19.937,500
False,f, 206.44521976093642, 48439.0,1GB,6,3,48.439,500
True,c, 626.363515076883, 1596517.0,1GB,6,3,1596.517,1000
True,f, 911.9203492290169, 1096587.0,1GB,3,1,1096.587,1000
True,c, 849.5426062607892, 1177104.0,1GB,3,2,1177.104,1000
True,c, 650.7489143881236, 1536691.0,1GB,6,5,1536.691,1000
False,c, 408.26324814240223, 24494.0,1GB,3,1,24.494,1000
False,f, 446.68780988966813, 22387.0,1GB,1,1,22.387,1000
False,c, 253.4789992649109, 39451.0,1GB,3,1,39.451,800
True,a, 1432.8043419702778, 697932.0,1GB,1,4,697.932,1000
False,c, 317.5207976122436, 31494.0,1GB,1,2,31.494,500
False,a, 614.8548942449582, 16264.0,1GB,1,3,16.264,500
False,f, 417.7458434288579, 23938.0,1GB,3,3,23.938,800
True,c, 644.8459398565088, 1550758.0,1GB,6,2,1550.758,1000
True,a, 874.216619950716, 915105.0,1GB,3,2,915.105,800
True,a, 896.1998884231139, 892658.0,1GB,3,1,892.658,800
False,f, 271.59152634437805, 36820.0,1GB,3,1,36.82,800
True,f, 675.0371270419873, 740700.0,1GB,6,5,740.7,500
False,c, 510.673067102441, 19582.0,1GB,1,5,19.582,500
False,f, 487.92388387411563, 20495.0,1GB,1,2,20.495,500
True,f, 2774.694783573807, 180200.0,1GB,1,4,180.2,500
True,a, 659.2522760684831, 1213496.0,1GB,6,1,1213.496,800
False,f, 393.8093175284527, 25393.0,1GB,3,4,25.393,500
False,c, 518.3764449743404, 19291.0,1GB,1,3,19.291,1000
False,c, 261.6088947024199, 38225.0,1GB,3,4,38.225,800
True,c, 550.8603888413313, 907671.0,1GB,6,1,907.671,500
False,f, 218.39306383629255, 45789.0,1GB,6,4,45.789,1000
False,a, 493.19392385085814, 20276.0,1GB,3,2,20.276,800
False,c, 427.42349119507605, 23396.0,1GB,3,3,23.396,1000
False,c, 367.8363863753402, 27186.0,1GB,3,3,27.186,500
False,f, 258.01124929046904, 38758.0,1GB,6,1,38.758,800
True,a, 639.5783899253612, 1563530.0,1GB,6,3,1563.53,1000
True,c, 1751.060486006838, 456866.0,1GB,1,3,456.866,800
False,c, 520.3184348821479, 19219.0,1GB,1,4,19.219,500
True,c, 642.2705548655607, 1245581.0,1GB,6,4,1245.581,800
False,f, 515.1983513652756, 19410.0,1GB,1,4,19.41,1000
False,c, 355.7705991176889, 28108.0,1GB,6,4,28.108,1000
True,a, 915.8716900397122, 1091856.0,1GB,3,3,1091.856,1000
True,f, 2745.9853693899518, 182084.0,1GB,1,1,182.084,500
False,c, 247.51249938121876, 40402.0,1GB,6,4,40.402,800
True,a, 611.6148098856524, 817508.0,1GB,6,5,817.508,500
True,f, 876.1007384434099, 913137.0,1GB,3,2,913.137,800
False,c, 518.3495749533486, 19292.0,1GB,3,3,19.292,800
True,f, 971.9932300671526, 823051.0,1GB,3,4,823.051,800
True,f, 600.9203696381378, 832057.0,1GB,6,2,832.057,500
True,a, 1062.9491790710622, 752623.0,1GB,3,3,752.623,800
True,f, 1742.9004041350313, 459005.0,1GB,1,5,459.005,800
