ld,wl,Throughput(ops/sec),RunTime(ms),ram,n,t,RunTime(s),dbs
True,f, 1303.0249724735975, 613956.0,2GB,3,5,613.956,800
False,a, 740.8504963698325, 13498.0,2GB,1,3,13.498,800
True,f, 1305.3658695776326, 612855.0,2GB,3,1,612.855,800
False,a, 720.876585928489, 13872.0,2GB,1,2,13.872,800
False,c, 370.23324694557573, 27010.0,2GB,6,2,27.01,800
True,a, 2826.1261229435518, 283073.0,2GB,1,1,283.073,800
False,c, 579.6765404904064, 17251.0,2GB,6,4,17.251,500
True,f, 658.1991539508075, 1519297.0,2GB,6,2,1519.297,1000
False,a, 808.2767539605561, 12372.0,2GB,1,2,12.372,500
True,f, 2828.2302631951084, 176789.0,2GB,1,5,176.789,500
False,c, 406.8182742768805, 24581.0,2GB,6,3,24.581,1000
True,c, 2865.1653200389665, 174510.0,2GB,1,4,174.51,500
True,a, 2830.70608424889, 282615.0,2GB,1,2,282.615,800
False,a, 713.7758743754462, 14010.0,2GB,3,5,14.01,500
False,f, 228.13341241958298, 43834.0,2GB,1,1,43.834,800
True,c, 1299.925254297878, 769275.0,2GB,3,4,769.275,1000
True,a, 1289.2329708439963, 620524.0,2GB,3,4,620.524,800
True,c, 2816.9966308720295, 177494.0,2GB,1,3,177.494,500
True,a, 666.1231102087363, 750612.0,2GB,6,2,750.612,500
False,c, 281.8807080843387, 35476.0,2GB,6,5,35.476,800
False,f, 494.58430189425786, 20219.0,2GB,3,5,20.219,800
False,a, 192.28550551859402, 52006.0,2GB,6,1,52.006,500
False,c, 399.0104540738967, 25062.0,2GB,6,5,25.062,1000
False,f, 368.82676206985576, 27113.0,2GB,3,4,27.113,1000
True,c, 2845.816507443233, 351393.0,2GB,1,1,351.393,1000
True,a, 646.5549290438294, 1546659.0,2GB,6,1,1546.659,1000
False,f, 544.9294316386028, 18351.0,2GB,3,3,18.351,500
False,c, 505.66343042071196, 19776.0,2GB,1,5,19.776,800
False,c, 347.77770049384435, 28754.0,2GB,6,1,28.754,500
True,f, 1296.5291913547433, 771290.0,2GB,3,2,771.29,1000
True,f, 647.1101355566312, 1545332.0,2GB,6,3,1545.332,1000
True,c, 1283.0020194451786, 389711.0,2GB,3,2,389.711,500
True,c, 2850.0685797752008, 280695.0,2GB,1,2,280.695,800
False,a, 340.3096818104475, 29385.0,2GB,6,1,29.385,1000
True,f, 1288.6730791039083, 387996.0,2GB,3,5,387.996,500
False,f, 652.7415143603133, 15320.0,2GB,1,3,15.32,500
False,f, 344.3526170798898, 29040.0,2GB,6,5,29.04,800
