med,row/s,max,sum ms,errors,compaction,.99,.999,total ops,compression,mb,pk/s,.95,max ms,rf,stderr,time,mean,sdv ms,op/s,type,network_type,gc: #,op
45.7,3526,379.3,0,0,none,206.2,268.7,13942,LZ4Compressor,0,3526,140.9,0,none,0.04272,4.2,56.6,0,3526,,wireless,0,reads_only
45.8,3641,298.8,0,0,none,183.6,241.4,21908,LZ4Compressor,0,3641,133.0,0,none,0.03114,6.4,55.6,0,3641,,wireless,0,reads_only
44.1,3540,298.3,0,0,none,205.1,256.5,29967,LZ4Compressor,0,3540,142.9,0,none,0.02337,8.7,55.9,0,3540,,wireless,0,reads_only
44.5,2522,751.8,0,0,none,213.0,705.2,35501,LZ4Compressor,0,2522,147.8,0,none,0.02178,10.9,60.0,0,2522,,wireless,0,reads_only
154.4,521,1285.6,0,0,none,1170.2,1228.9,36778,LZ4Compressor,0,521,1056.4,0,none,0.12778,13.3,410.7,0,521,,wireless,0,reads_only
65.8,616,1125.1,0,0,none,996.1,1036.5,38631,LZ4Compressor,0,616,925.4,0,none,0.16203,16.3,361.5,0,616,,wireless,0,reads_only
46.0,3590,517.5,0,0,none,210.9,352.3,46405,LZ4Compressor,0,3590,131.1,0,none,0.14396,18.5,56.6,0,3590,,wireless,0,reads_only
64.9,2728,310.4,0,0,none,229.4,301.2,50645,LZ4Compressor,0,2728,164.0,0,none,0.12781,20.0,73.3,0,2728,,wireless,0,reads_only
58.7,2261,553.1,0,0,none,398.7,509.1,4521,LZ4Compressor,0,2261,212.6,0,none,0.0,2.0,80.6,0,2261,,wireless,0,reads_only
55.8,3076,354.2,0,0,none,208.0,302.0,11759,LZ4Compressor,0,3076,144.3,0,none,0.05181,4.4,64.3,0,3076,,wireless,0,reads_only
57.8,2852,412.9,0,0,none,242.4,314.0,18496,LZ4Compressor,0,2852,174.1,0,none,0.0349,6.7,70.5,0,2852,,wireless,0,reads_only
64.5,2743,278.9,0,0,none,202.5,267.1,24442,LZ4Compressor,0,2743,154.7,0,none,0.03131,8.9,72.8,0,2743,,wireless,0,reads_only
62.4,2758,301.2,0,0,none,183.0,216.3,30410,LZ4Compressor,0,2758,142.9,0,none,0.02626,11.0,70.0,0,2758,,wireless,0,reads_only
95.0,1035,1159.7,0,0,none,547.9,1158.7,32584,LZ4Compressor,0,1035,472.4,0,none,0.05363,13.1,133.5,0,1035,,wireless,0,reads_only
1331.7,31,12197.0,0,0,none,12146.7,12197.0,32986,LZ4Compressor,0,31,12129.9,0,none,0.1405,26.3,5997.7,0,31,,wireless,0,reads_only
51.3,2921,367.5,0,0,none,210.2,315.6,5845,LZ4Compressor,0,2921,151.5,0,none,0.0,2.0,61.7,0,2921,,wireless,0,reads_only
49.5,3544,305.4,0,0,none,171.4,262.1,14119,LZ4Compressor,0,3544,125.4,0,none,0.04605,4.3,56.5,0,3544,,wireless,0,reads_only
50.0,3500,352.1,0,0,none,177.9,231.1,21818,LZ4Compressor,0,3500,121.0,0,none,0.03791,6.5,57.5,0,3500,,wireless,0,reads_only
53.9,1220,1157.6,0,0,none,1087.4,1148.2,24449,LZ4Compressor,0,1220,947.9,0,none,0.08417,8.7,145.0,0,1220,,wireless,0,reads_only
41.7,431,1516.2,0,0,none,1292.9,1478.5,25826,LZ4Compressor,0,431,1084.2,0,none,0.18204,11.9,454.9,0,431,,wireless,0,reads_only
49.1,1978,1192.2,0,0,none,697.3,941.1,31145,LZ4Compressor,0,1978,642.8,0,none,0.14965,14.6,111.7,0,1978,,wireless,0,reads_only
55.6,3219,419.2,0,0,none,168.7,310.1,37900,LZ4Compressor,0,3219,127.9,0,none,0.1284,16.7,62.3,0,3219,,wireless,0,reads_only
50.4,3484,259.3,0,0,none,174.1,210.8,45105,LZ4Compressor,0,3484,132.8,0,none,0.11218,18.7,57.4,0,3484,,wireless,0,reads_only
50.2,3509,255.1,0,0,none,176.8,218.0,49533,LZ4Compressor,0,3509,123.4,0,none,0.1014,20.0,57.6,0,3509,,wireless,0,reads_only
48.4,3089,294.6,0,0,none,184.7,250.0,6179,LZ4Compressor,0,3089,131.1,0,none,0.0,2.0,56.9,0,3089,,wireless,0,reads_only
50.7,3524,250.9,0,0,none,163.7,211.4,14263,LZ4Compressor,0,3524,122.0,0,none,0.0312,4.3,57.2,0,3524,,wireless,0,reads_only
59.0,3065,271.1,0,0,none,189.9,242.0,20876,LZ4Compressor,0,3065,136.7,0,none,0.0299,6.5,64.8,0,3065,,wireless,0,reads_only
56.0,2922,366.7,0,0,none,218.9,348.1,27275,LZ4Compressor,0,2922,166.9,0,none,0.02524,8.6,68.6,0,2922,,wireless,0,reads_only
53.6,2839,550.5,0,0,none,419.7,529.8,33488,LZ4Compressor,0,2839,161.0,0,none,0.02121,10.8,70.4,0,2839,,wireless,0,reads_only
73.3,2389,423.9,0,0,none,261.4,378.5,38546,LZ4Compressor,0,2389,162.8,0,none,0.03466,12.9,84.0,0,2389,,wireless,0,reads_only
66.5,2670,325.1,0,0,none,199.2,265.0,44341,LZ4Compressor,0,2670,148.1,0,none,0.03417,15.1,74.2,0,2670,,wireless,0,reads_only
55.8,3128,385.1,0,0,none,219.2,292.0,51504,LZ4Compressor,0,3128,144.7,0,none,0.03083,17.4,64.6,0,3128,,wireless,0,reads_only
48.9,3373,300.4,0,0,none,189.5,269.5,58687,LZ4Compressor,0,3373,135.9,0,none,0.02941,19.5,58.5,0,3373,,wireless,0,reads_only
55.4,3475,276.8,0,0,none,157.5,221.2,60378,LZ4Compressor,0,3475,124.6,0,none,0.1082,20.0,61.1,0,3475,,wireless,0,reads_only
47.1,2936,314.8,0,0,none,242.0,296.5,5850,LZ4Compressor,0,2936,154.3,0,none,0.0,2.0,60.7,0,2936,,wireless,0,reads_only
54.9,2984,349.2,0,0,none,231.1,312.0,12625,LZ4Compressor,0,2984,173.8,0,none,0.00383,4.3,67.7,0,2984,,wireless,0,reads_only
46.9,3614,266.6,0,0,none,166.9,230.6,20874,LZ4Compressor,0,3614,126.6,0,none,0.04311,6.5,55.1,0,3614,,wireless,0,reads_only
49.9,3442,286.3,0,0,none,175.2,228.5,28694,LZ4Compressor,0,3442,130.5,0,none,0.03462,8.8,57.9,0,3442,,wireless,0,reads_only
51.1,2722,300.2,0,0,none,217.4,264.5,34478,LZ4Compressor,0,2722,159.0,0,none,0.04075,10.9,63.2,0,2722,,wireless,0,reads_only
116.9,473,1344.3,0,0,none,1279.3,1303.4,35813,LZ4Compressor,0,473,1154.5,0,none,0.13639,13.8,409.4,0,473,,wireless,0,reads_only
49.3,1268,1677.7,0,0,none,1270.9,1604.3,40453,LZ4Compressor,0,1268,887.6,0,none,0.12687,17.4,174.4,0,1268,,wireless,0,reads_only
50.6,3409,295.4,0,0,none,172.5,217.8,47795,LZ4Compressor,0,3409,131.3,0,none,0.112,19.6,58.3,0,3409,,wireless,0,reads_only
50.3,3464,407.9,0,0,none,231.7,373.3,49430,LZ4Compressor,0,3464,129.3,0,none,0.41709,20.0,61.2,0,3464,,wireless,0,reads_only
122.1,1016,1298.1,0,0,none,920.1,1136.7,2032,LZ4Compressor,0,1016,527.4,0,none,0.0,2.0,165.7,0,1016,,wireless,0,writes_only
111.3,1469,1120.9,0,0,none,434.4,953.7,6286,LZ4Compressor,0,1469,281.5,0,none,0.06635,4.9,136.1,0,1469,,wireless,0,writes_only
140.6,1277,658.5,0,0,none,407.1,492.8,9278,LZ4Compressor,0,1277,318.5,0,none,0.1119,7.2,157.8,0,1277,,wireless,0,writes_only
82.1,2135,490.2,0,0,none,344.7,440.4,13850,LZ4Compressor,0,2135,200.5,0,none,0.0883,9.4,95.8,0,2135,,wireless,0,writes_only
75.4,2193,384.0,0,0,none,269.5,333.2,18886,LZ4Compressor,0,2193,203.4,0,none,0.07077,11.7,89.2,0,2193,,wireless,0,writes_only
67.8,2664,382.5,0,0,none,209.2,272.6,24769,LZ4Compressor,0,2664,157.9,0,none,0.07044,13.9,75.8,0,2664,,wireless,0,writes_only
70.8,2361,499.6,0,0,none,232.7,384.6,30061,LZ4Compressor,0,2361,188.6,0,none,0.06262,16.1,84.5,0,2361,,wireless,0,writes_only
71.4,2636,306.4,0,0,none,210.5,282.9,35933,LZ4Compressor,0,2636,153.7,0,none,0.05627,18.4,76.2,0,2636,,wireless,0,writes_only
