ram,wl,RunTime(s),dbs,ld,nm,Throughput(ops/sec),RunTime(ms),lt,n,rf,t,nt
2GB,a,12.925,1000,False,nodal, 773.6943907156673, 12925.0,1,1,1,3,vm
2GB,c,24.217,1000,False,nodal, 412.93306355039846, 24217.0,1,3,1,5,vm
2GB,c,15.352,800,False,nodal, 651.3809275664408, 15352.0,1,3,1,2,vm
2GB,c,20.236,800,False,nodal, 494.16880806483493, 20236.0,1,1,1,2,vm
2GB,c,390.588,500,True,nodal, 1280.1212530850921, 390588.0,1,3,1,4,vm
2GB,a,22.31,1000,False,nodal, 448.22949350067233, 22310.0,1,3,1,5,vm
2GB,a,,500,True,nodal,,,1,1,1,1,vm
2GB,f,618.317,800,True,nodal, 1293.834715849637, 618317.0,1,3,1,3,vm
2GB,f,391.573,500,True,nodal, 1276.9011142239124, 391573.0,1,3,1,1,vm
2GB,c,14.61,800,False,nodal, 684.4626967830253, 14610.0,1,3,1,5,vm
2GB,f,176.814,500,True,nodal, 2827.8303754227604, 176814.0,1,1,1,3,vm
2GB,c,1281.737,800,True,nodal, 624.1530048676133, 1281737.0,1,6,1,1,vm
2GB,a,793.79,500,True,nodal, 629.8895173786518, 793790.0,1,6,1,4,vm
2GB,c,13.105,800,False,nodal, 763.0675314765357, 13105.0,1,1,1,1,vm
2GB,f,27.511,1000,False,nodal, 363.49096724946384, 27511.0,1,3,1,1,vm
2GB,a,170.009,500,True,nodal, 2941.020769488674, 170009.0,1,1,1,5,vm
2GB,a,390.163,500,True,nodal, 1281.5156742182114, 390163.0,1,3,1,3,vm
2GB,c,14.237,500,False,nodal, 702.3951675212475, 14237.0,1,1,1,1,vm
2GB,f,16.509,800,False,nodal, 605.7302077654613, 16509.0,1,1,1,5,vm
2GB,f,28.096,1000,False,nodal, 355.92255125284737, 28096.0,1,3,1,3,vm
2GB,a,174.468,500,True,nodal, 2865.8550565146616, 174468.0,1,1,1,4,vm
2GB,a,352.444,1000,True,nodal, 2837.3301857883807, 352444.0,1,1,1,3,vm
2GB,c,177.484,500,True,nodal, 2817.155349214577, 177484.0,1,1,1,1,vm
2GB,c,17.333,500,False,nodal, 576.9341718109964, 17333.0,1,6,1,2,vm
2GB,f,613.956,800,True,nodal, 1303.0249724735975, 613956.0,1,3,1,5,vm
2GB,a,13.498,800,False,nodal, 740.8504963698325, 13498.0,1,1,1,3,vm
2GB,f,612.855,800,True,nodal, 1305.3658695776326, 612855.0,1,3,1,1,vm
2GB,a,13.872,800,False,nodal, 720.876585928489, 13872.0,1,1,1,2,vm
2GB,c,27.01,800,False,nodal, 370.23324694557573, 27010.0,1,6,1,2,vm
2GB,a,283.073,800,True,nodal, 2826.1261229435518, 283073.0,1,1,1,1,vm
2GB,c,17.251,500,False,nodal, 579.6765404904064, 17251.0,1,6,1,4,vm
2GB,f,1519.297,1000,True,nodal, 658.1991539508075, 1519297.0,1,6,1,2,vm
2GB,a,12.372,500,False,nodal, 808.2767539605561, 12372.0,1,1,1,2,vm
2GB,f,176.789,500,True,nodal, 2828.2302631951084, 176789.0,1,1,1,5,vm
2GB,c,24.581,1000,False,nodal, 406.8182742768805, 24581.0,1,6,1,3,vm
2GB,c,174.51,500,True,nodal, 2865.1653200389665, 174510.0,1,1,1,4,vm
2GB,a,282.615,800,True,nodal, 2830.70608424889, 282615.0,1,1,1,2,vm
2GB,a,14.01,500,False,nodal, 713.7758743754462, 14010.0,1,3,1,5,vm
2GB,f,43.834,800,False,nodal, 228.13341241958298, 43834.0,1,1,1,1,vm
2GB,c,769.275,1000,True,nodal, 1299.925254297878, 769275.0,1,3,1,4,vm
2GB,a,620.524,800,True,nodal, 1289.2329708439963, 620524.0,1,3,1,4,vm
2GB,c,177.494,500,True,nodal, 2816.9966308720295, 177494.0,1,1,1,3,vm
2GB,a,750.612,500,True,nodal, 666.1231102087363, 750612.0,1,6,1,2,vm
2GB,c,35.476,800,False,nodal, 281.8807080843387, 35476.0,1,6,1,5,vm
2GB,f,20.219,800,False,nodal, 494.58430189425786, 20219.0,1,3,1,5,vm
2GB,a,52.006,500,False,nodal, 192.28550551859402, 52006.0,1,6,1,1,vm
2GB,c,25.062,1000,False,nodal, 399.0104540738967, 25062.0,1,6,1,5,vm
2GB,f,27.113,1000,False,nodal, 368.82676206985576, 27113.0,1,3,1,4,vm
2GB,c,351.393,1000,True,nodal, 2845.816507443233, 351393.0,1,1,1,1,vm
2GB,a,1546.659,1000,True,nodal, 646.5549290438294, 1546659.0,1,6,1,1,vm
2GB,f,18.351,500,False,nodal, 544.9294316386028, 18351.0,1,3,1,3,vm
2GB,c,19.776,800,False,nodal, 505.66343042071196, 19776.0,1,1,1,5,vm
2GB,c,28.754,500,False,nodal, 347.77770049384435, 28754.0,1,6,1,1,vm
2GB,f,771.29,1000,True,nodal, 1296.5291913547433, 771290.0,1,3,1,2,vm
2GB,f,1545.332,1000,True,nodal, 647.1101355566312, 1545332.0,1,6,1,3,vm
2GB,c,389.711,500,True,nodal, 1283.0020194451786, 389711.0,1,3,1,2,vm
2GB,c,280.695,800,True,nodal, 2850.0685797752008, 280695.0,1,1,1,2,vm
2GB,a,29.385,1000,False,nodal, 340.3096818104475, 29385.0,1,6,1,1,vm
2GB,f,387.996,500,True,nodal, 1288.6730791039083, 387996.0,1,3,1,5,vm
2GB,f,15.32,500,False,nodal, 652.7415143603133, 15320.0,1,1,1,3,vm
2GB,f,29.04,800,False,nodal, 344.3526170798898, 29040.0,1,6,1,5,vm
2GB,c,351.93,1000,True,nodal, 2841.474156792544, 351930.0,1,1,1,2,vm
2GB,a,345.419,1000,True,nodal, 2895.0347259415375, 345419.0,1,1,1,5,vm
2GB,a,169.388,500,True,nodal, 2951.8029612487308, 169388.0,1,1,1,2,vm
2GB,f,22.578,800,False,nodal, 442.90902648595977, 22578.0,1,1,1,3,vm
2GB,a,20.625,800,False,nodal, 484.8484848484849, 20625.0,1,6,1,5,vm
2GB,f,345.437,1000,True,nodal, 2894.883871733485, 345437.0,1,1,1,3,vm
2GB,c,762.481,1000,True,nodal, 1311.5080900376533, 762481.0,1,3,1,1,vm
2GB,c,34.131,1000,False,nodal, 292.98877852978234, 34131.0,1,6,1,2,vm
2GB,c,15.256,500,False,nodal, 655.4798112218143, 15256.0,1,3,1,2,vm
2GB,a,20.522,800,False,nodal, 487.28194133125425, 20522.0,1,1,1,1,vm
2GB,c,20.35,1000,False,nodal, 491.4004914004914, 20350.0,1,1,1,5,vm
2GB,c,172.503,500,True,nodal, 2898.5003159365347, 172503.0,1,1,1,5,vm
